"   ncalls","  tottime","  percall","  cumtime","  percall"," filename:lineno(function)"
"    44478","    0.006","    0.000","    0.006","    0.000"," _function_base_impl.py:5285(_delete_dispatcher)"
"    46704","    0.006","    0.000","    0.006","    0.000"," fromnumeric.py:3519(_ndim_dispatcher)"
"     2029","    0.006","    0.000","    0.006","    0.000"," {built-in method width}"
"    10140","    0.003","    0.000","    0.006","    0.000"," variadic.py:32(isvariadic)"
2098/2046,"    0.002","    0.000","    0.006","    0.000"," <frozen abc>:121(__subclasscheck__)"
"    43395","    0.005","    0.000","    0.005","    0.000"," multiarray.py:1106(copyto)"
"    25474","    0.005","    0.000","    0.005","    0.000"," {built-in method _operator.index}"
"      402","    0.005","    0.000","    0.005","    0.000"," {method 'vertex_array' of 'mgl.Context' objects}"
"    12697","    0.004","    0.000","    0.005","    0.000"," _linalg.py:187(isComplexType)"
"      118","    0.004","    0.000","    0.005","    0.000"," helpers.py:426(params_to_camera_poses)"
"      681","    0.004","    0.000","    0.005","    0.000"," {computeCorrespondEpilines}"
"    11022","    0.003","    0.000","    0.005","    0.000"," core.py:6686(isMaskedArray)"
"     2028","    0.002","    0.000","    0.005","    0.000"," __init__.py:1759(enable)"
"        1","    0.004","    0.004","    0.004","    0.004"," {built-in method menuBar}"
"    11022","    0.004","    0.000","    0.004","    0.000"," getlimits.py:722(max)"
2098/2046,"    0.004","    0.000","    0.004","    0.000"," {built-in method _abc._abc_subclasscheck}"
"    12606","    0.004","    0.000","    0.004","    0.000"," {method 'insert' of 'list' objects}"
"     6130","    0.003","    0.000","    0.004","    0.000"," _linalg.py:201(_realType)"
"     1202","    0.003","    0.000","    0.004","    0.000"," shape_base.py:21(atleast_1d)"
"      449","    0.002","    0.000","    0.004","    0.000"," _linalg.py:2622(norm)"
"      402","    0.001","    0.000","    0.004","    0.000"," __init__.py:2307(detect_format)"
"       84","    0.001","    0.000","    0.004","    0.000"," viewer3d.py:341(wheelEvent)"
"        1","    0.000","    0.000","    0.003","    0.003"," KalmanFilter.py:7(__init__)"
"        1","    0.000","    0.000","    0.003","    0.003"," helpers.py:255(start_trangulating_points)"
"        1","    0.000","    0.000","    0.003","    0.003"," viewer3d.py:16(initializeGL)"
"        2","    0.000","    0.000","    0.003","    0.001"," app.py:264(toggle_live_triangulation)"
"        2","    0.000","    0.000","    0.003","    0.001"," index.py:243(live_mocap)"
"      149","    0.003","    0.000","    0.003","    0.000"," ArcBall.py:71(_mapToSphere)"
"     2028","    0.003","    0.000","    0.003","    0.000"," __init__.py:1545(point_size)"
"     6130","    0.003","    0.000","    0.003","    0.000"," _linalg.py:256(_assert_stacked_square)"
"    21340","    0.003","    0.000","    0.003","    0.000"," _shape_base_impl.py:514(_expand_dims_dispatcher)"
"    22241","    0.003","    0.000","    0.003","    0.000"," multiarray.py:391(where)"
"    21341","    0.003","    0.000","    0.003","    0.000"," {built-in method builtins.iter}"
